 ,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId,Age
23,Asco-2,41.202,0.571,Spain,ES,Operational,PWR,WH 3LP,07-03-1975,31-03-1986,12-10-2023,888,2023-08-28T08:01:45+03:00,WNA/IAEA,156,37
24,Atucha-1,-33.967,-59.209,Argentina,AR,Operational,PHWR,PHWR KWU,01-06-1968,24-06-1974,12-10-2023,319,2022-04-21T20:26:19+03:00,WNA/IAEA,3,49
25,Atucha-2,-33.967,-59.209,Argentina,AR,Operational,PHWR,PHWR KWU,13-07-1981,25-05-2016,12-10-2023,692,2023-08-28T08:01:45+03:00,WNA/IAEA,5,7
26,Balakovo-1,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,01-12-1980,23-05-1986,12-10-2023,950,2015-05-24T04:51:36+03:00,WNA/IAEA,524,37
27,Balakovo-2,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,01-08-1981,18-01-1988,12-10-2023,950,2015-05-24T04:51:36+03:00,WNA/IAEA,525,35
28,Balakovo-3,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,01-11-1982,08-04-1989,12-10-2023,950,2015-05-24T04:51:36+03:00,WNA/IAEA,526,34
29,Balakovo-4,52.092,47.952,Russia,RU,Operational,PWR,VVER V-320,01-04-1984,22-12-1993,12-10-2023,950,2015-05-24T04:51:36+03:00,WNA/IAEA,527,29
31,Barakah-1 (Braka),23.952748,52.193298,United Arab Emirates,AE,Operational,PWR,APR-1400,19-07-2012,01-04-2021,12-10-2023,1310,2023-08-28T08:01:45+03:00,WNA/IAEA,1050,2
32,Barakah-2 (Braka),23.952748,52.193298,United Arab Emirates,AE,Operational,PWR,APR-1400,15-04-2013,24-03-2022,12-10-2023,1310,2023-08-28T08:01:45+03:00,WNA/IAEA,1051,1
33,Barakah-3 (Braka),23.952748,52.203298,United Arab Emirates,AE,Operational,PWR,APR-1400,24-09-2014,24-02-2023,12-10-2023,1310,2023-08-28T08:01:45+03:00,WNA/IAEA,1052,0
38,Beaver Valley-1,40.624,-80.432,United States,US,Operational,PWR,WH 3LP (DRYSUB),26-06-1970,01-10-1976,12-10-2023,835,2017-02-10T23:58:44+02:00,WNA/IAEA,669,47
39,Beaver Valley-2,40.624,-80.432,United States,US,Operational,PWR,WH 3LP (DRYSUB),03-05-1974,17-11-1987,12-10-2023,836,2017-02-10T23:58:59+02:00,WNA/IAEA,712,35
40,Belarusian-1,54.766667,26.116667,Belarus,BY,Operational,PWR,VVER V-491,08-11-2013,10-06-2021,12-10-2023,1110,2021-10-01T00:14:53+03:00,IAEA,1056,2
41,Belarusian-2,54.766667,26.116667,Belarus,BY,Operational,PWR,VVER V-491,27-04-2014,,,1110,2023-08-28T08:01:45+03:00,IAEA,1061,0
44,Belleville-1,47.511,2.871,France,FR,Operational,PWR,P4 REP 1300,01-05-1980,01-06-1988,12-10-2023,1310,2015-05-24T04:51:02+03:00,WNA/IAEA,211,35
45,Belleville-2,47.511,2.871,France,FR,Operational,PWR,P4 REP 1300,01-08-1980,01-01-1989,12-10-2023,1310,2015-05-24T04:51:02+03:00,WNA/IAEA,212,34
48,Beloyarsk-3,56.842,61.321,Russia,RU,Operational,FBR,BN-600,01-01-1969,01-11-1981,12-10-2023,560,2015-05-24T04:51:34+03:00,WNA/IAEA,484,41
49,Beloyarsk-4,56.842,61.321,Russia,RU,Operational,FBR,BN-800,18-07-2006,31-10-2016,12-10-2023,820,2017-09-25T03:19:53+03:00,WNA/IAEA,451,6
53,Beznau-1,47.552,8.229,Switzerland,CH,Operational,PWR,WH 2LP,01-09-1965,09-12-1969,12-10-2023,350,2022-04-21T20:26:19+03:00,WNA/IAEA,55,53
54,Beznau-2,47.552,8.229,Switzerland,CH,Operational,PWR,WH 2LP,01-01-1968,04-03-1972,12-10-2023,350,2023-08-28T08:01:45+03:00,WNA/IAEA,57,51
59,Bilibino-2,68.059,166.492,Russia,RU,Operational,LWGR,EGP-6,01-01-1970,01-02-1975,12-10-2023,11,2015-05-24T04:51:32+03:00,WNA/IAEA,468,48
60,Bilibino-3,68.059,166.492,Russia,RU,Operational,LWGR,EGP-6,01-01-1970,01-02-1976,12-10-2023,11,2015-05-24T04:51:32+03:00,WNA/IAEA,469,47
61,Bilibino-4,68.059,166.492,Russia,RU,Operational,LWGR,EGP-6,01-01-1970,01-01-1977,12-10-2023,11,2015-05-24T04:51:33+03:00,WNA/IAEA,470,46
62,Blayais-1,45.256,-0.691,France,FR,Operational,PWR,CP1,01-01-1977,01-12-1981,12-10-2023,910,2015-05-24T04:50:53+03:00,WNA/IAEA,187,41
63,Blayais-2,45.256,-0.691,France,FR,Operational,PWR,CP1,01-01-1977,01-02-1983,12-10-2023,910,2015-05-24T04:50:54+03:00,WNA/IAEA,188,40
64,Blayais-3,45.256,-0.691,France,FR,Operational,PWR,CP1,01-04-1978,14-11-1983,12-10-2023,910,2015-05-24T04:50:54+03:00,WNA/IAEA,189,39
65,Blayais-4,45.256,-0.691,France,FR,Operational,PWR,CP1,01-04-1978,01-10-1983,12-10-2023,910,2015-05-24T04:50:54+03:00,WNA/IAEA,190,40
68,Bohunice-3,48.494,17.687,Slovakia,SK,Operational,PWR,VVER V-213,01-12-1976,14-02-1985,12-10-2023,466,2021-02-14T03:47:53+02:00,WNA/IAEA,546,38
69,Bohunice-4,48.494,17.687,Slovakia,SK,Operational,PWR,VVER V-213,01-12-1976,18-12-1985,12-10-2023,466,2021-02-14T03:47:53+02:00,WNA/IAEA,547,37
72,Borssele,51.431,3.719,Netherlands,NL,Operational,PWR,KWU 2LP,01-07-1969,26-10-1973,12-10-2023,495,2017-02-10T23:57:03+02:00,WNA/IAEA,423,49
76,Braidwood-1,41.247,-88.23,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-08-1975,29-07-1988,12-10-2023,1120,2017-02-10T23:59:18+02:00,WNA/IAEA,737,35
77,Braidwood-2,41.247,-88.23,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-08-1975,17-10-1988,12-10-2023,1120,2017-02-10T23:59:19+02:00,WNA/IAEA,738,34
80,Browns Ferry-1,34.704,-87.119,United States,US,Operational,BWR,BWR-4 (Mark 1),01-05-1967,20-12-1974,12-10-2023,1065,2022-04-21T20:26:19+03:00,WNA/IAEA,617,48
81,Browns Ferry-2,34.704,-87.119,United States,US,Operational,BWR,BWR-4 (Mark 1),01-05-1967,01-03-1975,12-10-2023,1065,2015-05-24T04:51:42+03:00,WNA/IAEA,618,48
82,Browns Ferry-3,34.704,-87.119,United States,US,Operational,BWR,BWR-4 (Mark 1),01-07-1968,01-03-1977,12-10-2023,1065,2015-05-24T04:51:43+03:00,WNA/IAEA,641,46
83,Bruce-1,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 791,01-06-1971,01-09-1977,12-10-2023,732,2022-04-21T20:26:19+03:00,WNA/IAEA,53,46
84,Bruce-2,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 791,01-12-1970,01-09-1977,12-10-2023,732,2022-04-21T20:26:19+03:00,WNA/IAEA,54,46
85,Bruce-3,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750A,01-07-1972,01-02-1978,12-10-2023,750,2022-04-21T20:26:19+03:00,WNA/IAEA,30,45
86,Bruce-4,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750A,01-09-1972,18-01-1979,12-10-2023,750,2022-04-21T20:26:19+03:00,WNA/IAEA,31,44
87,Bruce-5,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750B,31-05-1978,28-02-1985,12-10-2023,822,2022-04-21T20:26:19+03:00,WNA/IAEA,38,38
88,Bruce-6,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750B,01-01-1978,14-09-1984,12-10-2023,822,2015-05-24T04:50:24+03:00,WNA/IAEA,39,39
89,Bruce-7,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750B,01-05-1979,10-04-1986,12-10-2023,822,2015-05-24T04:50:24+03:00,WNA/IAEA,41,37
90,Bruce-8,44.341,-81.572,Canada,CA,Operational,PHWR,CANDU 750B,30-07-1979,20-05-1987,12-10-2023,795,2022-04-21T20:26:19+03:00,WNA/IAEA,42,36
92,Brunswick-1,33.958,-78.007,United States,US,Operational,BWR,BWR-4 (Mark 1),07-02-1970,18-03-1977,12-10-2023,821,2015-05-24T04:51:46+03:00,WNA/IAEA,662,46
93,Brunswick-2,33.958,-78.007,United States,US,Operational,BWR,BWR-4 (Mark 1),07-02-1970,03-11-1975,12-10-2023,821,2015-05-24T04:51:46+03:00,WNA/IAEA,661,47
95,Bugey-2,45.796,5.268,France,FR,Operational,PWR,CP0,01-11-1972,01-03-1979,12-10-2023,920,2015-05-24T04:50:51+03:00,WNA/IAEA,165,44
96,Bugey-3,45.798,5.268,France,FR,Operational,PWR,CP0,01-09-1973,01-03-1979,12-10-2023,920,2015-05-24T04:50:51+03:00,WNA/IAEA,166,44
97,Bugey-4,45.8,5.267,France,FR,Operational,PWR,CP0,01-06-1974,01-07-1979,12-10-2023,900,2015-05-24T04:50:51+03:00,WNA/IAEA,167,44
98,Bugey-5,45.8,5.267,France,FR,Operational,PWR,CP0,01-07-1974,03-01-1980,12-10-2023,900,2015-05-24T04:50:51+03:00,WNA/IAEA,168,43
99,Bushehr-1,28.831,50.887,Iran,IR,Operational,PWR,VVER V-446,01-05-1975,23-09-2013,12-10-2023,915,2015-05-24T04:51:26+03:00,WNA/IAEA,310,10
103,Byron-1,42.074,-89.277,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-04-1975,16-09-1985,12-10-2023,1120,2017-02-10T23:59:17+02:00,WNA/IAEA,735,38
104,Byron-2,42.074,-89.277,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-04-1975,02-08-1987,12-10-2023,1120,2017-02-10T23:59:18+02:00,WNA/IAEA,736,36
109,Callaway-1,38.763,-91.781,United States,US,Operational,PWR,WH 4LP (DRYAMB),01-09-1975,19-12-1984,12-10-2023,1171,2017-02-10T23:59:20+02:00,WNA/IAEA,752,38
110,Calvert Cliffs-1,38.435,-76.439,United States,US,Operational,PWR,CE 2LP (DRYAMB),01-06-1968,08-05-1975,12-10-2023,845,2017-02-10T23:58:35+02:00,WNA/IAEA,655,48
111,Calvert Cliffs-2,38.435,-76.439,United States,US,Operational,PWR,CE 2LP (DRYAMB),01-06-1968,01-04-1977,12-10-2023,845,2017-02-10T23:58:36+02:00,WNA/IAEA,656,46
115,Catawba-1,35.053,-81.071,United States,US,Operational,PWR,WH 4LP (ICECND),01-05-1974,29-06-1985,12-10-2023,1145,2017-02-10T23:59:13+02:00,WNA/IAEA,713,38
116,Catawba-2,35.053,-81.071,United States,US,Operational,PWR,WH 4LP (ICECND),01-05-1974,19-08-1986,12-10-2023,1145,2017-02-10T23:59:14+02:00,WNA/IAEA,714,37
117,Cattenom-1,49.416,6.217,France,FR,Operational,PWR,P4 REP 1300,29-10-1979,01-04-1987,12-10-2023,1300,2015-05-24T04:51:01+03:00,WNA/IAEA,207,36
118,Cattenom-2,49.416,6.217,France,FR,Operational,PWR,P4 REP 1300,28-07-1980,01-02-1988,12-10-2023,1300,2015-05-24T04:51:02+03:00,WNA/IAEA,210,35
119,Cattenom-3,49.416,6.217,France,FR,Operational,PWR,P4 REP 1300,15-06-1982,01-02-1991,12-10-2023,1300,2015-05-24T04:51:04+03:00,WNA/IAEA,218,32
120,Cattenom-4,49.416,6.217,France,FR,Operational,PWR,P4 REP 1300,28-09-1983,01-01-1992,12-10-2023,1300,2015-05-24T04:51:06+03:00,WNA/IAEA,223,31
121,CEFR (China Experimental Fast Reactor),39.739,116.03,China,CN,Operational,FBR,BN-20,10-05-2000,,,20,12-06-2021,WNA/IAEA,1047,0
122,Cernavoda-1,44.322,28.061,Romania,RO,Operational,PHWR,CANDU 6,31-03-1983,02-12-1996,12-10-2023,650,2021-01-06T01:19:47+02:00,WNA/IAEA,442,26
123,Cernavoda-2,44.322,28.061,Romania,RO,Operational,PHWR,CANDU 6,01-07-1983,01-11-2007,12-10-2023,650,2019-06-02T20:18:16+03:00,WNA/IAEA,443,15
125,Changjiang-1,19.46075,108.899917,China,CN,Operational,PWR,CNP-600,25-04-2010,25-12-2015,12-10-2023,601,2021-04-20T03:20:43+03:00,WNA/IAEA/Wikipedia,939,7
126,Changjiang-2,19.46075,108.899917,China,CN,Operational,PWR,CNP-600,21-11-2010,12-08-2016,12-10-2023,601,2021-04-20T03:20:43+03:00,WNA/IAEA/Wikipedia,940,7
131,CHASNUPP-1,32.392,71.463,Pakistan,PK,Operational,PWR,CNP-300,01-08-1993,15-09-2000,12-10-2023,300,07-06-2021,WNA/IAEA,428,23
132,CHASNUPP-2,32.392,71.463,Pakistan,PK,Operational,PWR,CNP-300,28-12-2005,18-05-2011,12-10-2023,300,07-06-2021,WNA/IAEA,429,12
133,CHASNUPP-3,32.392,71.465,Pakistan,PK,Operational,PWR,CNP-300,28-05-2011,06-12-2016,12-10-2023,315,07-06-2021,WNA/IAEA,1044,6
134,CHASNUPP-4,32.391944,71.461667,Pakistan,PK,Operational,PWR,CNP-300,18-12-2011,19-09-2017,12-10-2023,313,07-06-2021,IAEA,1045,6
144,Chinon-B1,47.232,0.167,France,FR,Operational,PWR,CP2,01-03-1977,01-02-1984,12-10-2023,870,2015-05-24T04:50:58+03:00,WNA/IAEA,196,39
145,Chinon-B2,47.232,0.167,France,FR,Operational,PWR,CP2,01-03-1977,01-08-1984,12-10-2023,870,2015-05-24T04:50:59+03:00,WNA/IAEA,197,39
146,Chinon-B3,47.232,0.167,France,FR,Operational,PWR,CP2,01-10-1980,04-03-1987,12-10-2023,905,2015-05-24T04:51:03+03:00,WNA/IAEA,213,36
147,Chinon-B4,47.232,0.167,France,FR,Operational,PWR,CP2,01-02-1981,01-04-1988,12-10-2023,905,2015-05-24T04:51:03+03:00,WNA/IAEA,214,35
149,Chooz-B1,50.086,4.792,France,FR,Operational,PWR,N4 REP 1450,01-01-1984,15-05-2000,12-10-2023,1455,2015-05-24T04:51:04+03:00,WNA/IAEA,220,23
150,Chooz-B2,50.086,4.792,France,FR,Operational,PWR,N4 REP 1450,31-12-1985,29-09-2000,12-10-2023,1455,2015-05-24T04:51:06+03:00,WNA/IAEA,226,23
151,Civaux-1,46.457,0.654,France,FR,Operational,PWR,N4 REP 1450,15-10-1988,29-01-2002,12-10-2023,1450,2015-05-24T04:51:07+03:00,WNA/IAEA,227,21
152,Civaux-2,46.457,0.654,France,FR,Operational,PWR,N4 REP 1450,01-04-1991,23-04-2002,12-10-2023,1450,2015-05-24T04:51:07+03:00,WNA/IAEA,228,21
153,Clinton-1,40.172,-88.834,United States,US,Operational,BWR,BWR-6 (Mark 3),01-10-1975,24-11-1987,12-10-2023,950,2015-05-24T04:51:49+03:00,WNA/IAEA,742,35
154,Cofrentes,39.216,-1.051,Spain,ES,Operational,BWR,BWR-6 (Mark 3),09-09-1975,11-03-1985,12-10-2023,939,2017-02-10T23:56:09+02:00,WNA/IAEA,140,38
155,Columbia (WNP-2),46.471,-119.333,United States,US,Operational,BWR,BWR-5 (Mark 2),01-08-1972,13-12-1984,12-10-2023,1100,2015-05-24T04:51:48+03:00,WNA/IAEA,702,38
156,Comanche Peak-1,32.301,-97.787,United States,US,Operational,PWR,WH 4LP (DRYAMB),19-12-1974,13-08-1990,12-10-2023,1150,2017-02-10T23:59:17+02:00,WNA/IAEA,729,33
157,Comanche Peak-2,32.301,-97.787,United States,US,Operational,PWR,WH 4LP (DRYAMB),19-12-1974,03-08-1993,12-10-2023,1150,2017-02-10T23:59:17+02:00,WNA/IAEA,730,30
158,Cooper,40.361,-95.643,United States,US,Operational,BWR,BWR-4 (Mark 1),01-06-1968,01-07-1974,12-10-2023,778,2015-05-24T04:51:43+03:00,WNA/IAEA,642,49
159,Cruas-1,44.634,4.757,France,FR,Operational,PWR,CP2,01-08-1978,02-04-1984,12-10-2023,880,2015-05-24T04:50:59+03:00,WNA/IAEA,198,39
160,Cruas-2,44.634,4.757,France,FR,Operational,PWR,CP2,15-11-1978,01-04-1985,12-10-2023,915,2015-05-24T04:50:59+03:00,WNA/IAEA,199,38
161,Cruas-3,44.634,4.757,France,FR,Operational,PWR,CP2,15-04-1979,10-09-1984,12-10-2023,880,2015-05-24T04:50:59+03:00,WNA/IAEA,200,39
162,Cruas-4,44.634,4.757,France,FR,Operational,PWR,CP2,01-10-1979,11-02-1985,12-10-2023,880,2015-05-24T04:51:00+03:00,WNA/IAEA,201,38
164,Dampierre-1,47.732,2.513,France,FR,Operational,PWR,CP1,01-02-1975,10-09-1980,12-10-2023,890,2015-05-24T04:50:53+03:00,WNA/IAEA,176,43
165,Dampierre-2,47.732,2.513,France,FR,Operational,PWR,CP1,01-04-1975,16-02-1981,12-10-2023,890,2015-05-24T04:50:53+03:00,WNA/IAEA,183,42
166,Dampierre-3,47.732,2.513,France,FR,Operational,PWR,CP1,01-09-1975,27-05-1981,12-10-2023,890,2015-05-24T04:50:53+03:00,WNA/IAEA,185,42
167,Dampierre-4,47.732,2.513,France,FR,Operational,PWR,CP1,01-12-1975,20-11-1981,12-10-2023,890,2015-05-24T04:50:53+03:00,WNA/IAEA,186,41
169,Darlington-1,43.867,-78.724,Canada,CA,Operational,PHWR,CANDU 850,01-04-1982,14-11-1992,12-10-2023,881,2015-05-24T04:50:25+03:00,WNA/IAEA,43,30
170,Darlington-2,43.867,-78.724,Canada,CA,Operational,PHWR,CANDU 850,01-09-1981,09-10-1990,12-10-2023,881,2015-05-24T04:50:26+03:00,WNA/IAEA,44,33
171,Darlington-3,43.867,-78.724,Canada,CA,Operational,PHWR,CANDU 850,01-09-1984,14-02-1993,12-10-2023,881,2015-05-24T04:50:26+03:00,WNA/IAEA,45,30
172,Darlington-4,43.867,-78.724,Canada,CA,Operational,PHWR,CANDU 850,01-07-1985,14-06-1993,12-10-2023,881,2015-05-24T04:50:26+03:00,WNA/IAEA,46,30
175,Davis Besse-1,41.597,-83.092,United States,US,Operational,PWR,B&W RLP (DRYAMB),01-09-1970,31-07-1978,12-10-2023,906,2017-02-10T23:58:51+02:00,WNA/IAEA,676,45
176,Daya Bay-1 (Guangdong-1),22.599,114.544,China,CN,Operational,PWR,M310,07-08-1987,01-02-1994,12-10-2023,930,2015-05-24T04:50:39+03:00,WNA/IAEA,63,29
177,Daya Bay-2 (Guangdong-2),22.599,114.544,China,CN,Operational,PWR,M310,07-04-1988,06-05-1994,12-10-2023,930,2015-05-24T04:50:39+03:00,WNA/IAEA,64,29
178,Diablo Canyon-1,35.212,-120.854,United States,US,Operational,PWR,WH 4LP (DRYAMB),23-04-1968,07-05-1985,12-10-2023,1084,2017-02-10T23:58:09+02:00,WNA/IAEA,628,38
179,Diablo Canyon-2,35.212,-120.854,United States,US,Operational,PWR,WH 4LP (DRYAMB),09-12-1970,13-03-1986,12-10-2023,1106,2017-02-10T23:58:39+02:00,WNA/IAEA,660,37
180,Doel-1,51.323,4.259,Belgium,BE,Operational,PWR,WH 2LP,01-07-1969,15-02-1975,12-10-2023,392,2017-02-10T23:55:14+02:00,WNA/IAEA,9,48
181,Doel-2,51.323,4.259,Belgium,BE,Operational,PWR,WH 2LP,01-09-1971,01-12-1975,12-10-2023,445,2021-01-06T01:19:47+02:00,WNA/IAEA,11,47
183,Doel-4,51.323,4.259,Belgium,BE,Operational,PWR,WH 3LP,01-12-1978,01-07-1985,12-10-2023,1000,2017-02-10T23:55:43+02:00,WNA/IAEA,14,38
184,Donald Cook-1,41.975,-86.564,United States,US,Operational,PWR,WH 4LP (ICECDN),25-03-1969,28-08-1975,12-10-2023,1030,2017-02-10T23:58:31+02:00,WNA/IAEA,653,48
185,Donald Cook-2,41.975,-86.564,United States,US,Operational,PWR,WH 4LP (ICECDN),25-03-1969,01-07-1978,12-10-2023,1100,2017-02-10T23:58:33+02:00,WNA/IAEA,654,45
190,Dresden-2,41.353,-88.349,United States,US,Operational,BWR,BWR-3 (Mark 1),10-01-1966,09-06-1970,12-10-2023,794,2015-05-24T04:51:41+03:00,WNA/IAEA,608,53
191,Dresden-3,41.353,-88.349,United States,US,Operational,BWR,BWR-3 (Mark 1),14-10-1966,16-11-1971,12-10-2023,794,2015-05-24T04:51:41+03:00,WNA/IAEA,612,51
193,Dukovany-1,49.089,16.149,Czechia,CZ,Operational,PWR,VVER V-213,01-01-1979,03-05-1985,12-10-2023,420,2023-08-28T08:01:45+03:00,WNA/IAEA,78,38
194,Dukovany-2,49.089,16.149,Czechia,CZ,Operational,PWR,VVER V-213,01-01-1979,21-03-1986,12-10-2023,420,2015-05-24T04:50:42+03:00,WNA/IAEA,79,37
195,Dukovany-3,49.089,16.149,Czechia,CZ,Operational,PWR,VVER V-213,01-03-1979,20-12-1986,12-10-2023,420,2015-05-24T04:50:42+03:00,WNA/IAEA,80,36
196,Dukovany-4,49.089,16.149,Czechia,CZ,Operational,PWR,VVER V-213,01-03-1979,19-07-1987,12-10-2023,420,2015-05-24T04:50:42+03:00,WNA/IAEA,81,36
204,Embalse,-32.232,-64.442,Argentina,AR,Operational,PHWR,CANDU 6,01-04-1974,20-01-1984,12-10-2023,608,2020-04-18T04:46:52+03:00,WNA/IAEA,4,39
208,Enrico Fermi-2,41.96,-83.257,United States,US,Operational,BWR,BWR-4 (Mark 1),26-09-1972,23-01-1988,12-10-2023,1093,2015-05-24T04:51:47+03:00,WNA/IAEA,674,35
209,Fangchenggang-1,21.6,108.3,China,CN,Operational,PWR,CPR-1000,30-07-2010,01-01-2016,12-10-2023,1000,2019-06-29T22:55:52+03:00,WNA/IAEA,943,7
210,Fangchenggang-2,21.6,108.3,China,CN,Operational,PWR,CPR-1000,23-12-2010,01-10-2016,12-10-2023,1000,2017-02-10T23:59:36+02:00,WNA/IAEA,944,7
211,Fangjiashan-1,30.416,120.951,China,CN,Operational,PWR,CPR-1000,26-12-2008,15-12-2014,12-10-2023,1000,2015-05-24T04:51:56+03:00,WNA/IAEA,912,8
212,Fangjiashan-2,30.416,120.951,China,CN,Operational,PWR,CPR-1000,17-07-2009,12-02-2015,12-10-2023,1000,2015-05-24T04:51:56+03:00,WNA/IAEA,913,8
213,Farley-1,31.223,-85.115,United States,US,Operational,PWR,WH 3LP (DRYAMB),01-10-1970,01-12-1977,12-10-2023,829,2017-02-10T23:58:52+02:00,WNA/IAEA,677,45
214,Farley-2,31.223,-85.115,United States,US,Operational,PWR,WH 3LP (DRYAMB),01-10-1970,30-07-1981,12-10-2023,829,2017-02-10T23:58:53+02:00,WNA/IAEA,686,42
217,FitzPatrick,43.521,-76.403,United States,US,Operational,BWR,BWR-4 (Mark 1),01-09-1968,28-07-1975,12-10-2023,821,2015-05-24T04:51:47+03:00,WNA/IAEA,668,48
218,Flamanville-1,49.537,-1.881,France,FR,Operational,PWR,P4 REP 1300,01-12-1979,01-12-1986,12-10-2023,1330,2015-05-24T04:51:00+03:00,WNA/IAEA,202,36
219,Flamanville-2,49.537,-1.881,France,FR,Operational,PWR,P4 REP 1300,01-05-1980,09-03-1987,12-10-2023,1330,2015-05-24T04:51:00+03:00,WNA/IAEA,203,36
221,Forsmark-1,60.405,18.168,Sweden,SE,Operational,BWR,"AA-III, BWR-2500",01-06-1973,10-12-1980,12-10-2023,900,2018-03-10T14:52:03+02:00,WNA/IAEA,541,42
222,Forsmark-2,60.405,18.168,Sweden,SE,Operational,BWR,"AA-III, BWR-2500",01-01-1975,07-07-1981,12-10-2023,900,2018-03-10T14:51:47+02:00,WNA/IAEA,530,42
223,Forsmark-3,60.405,18.168,Sweden,SE,Operational,BWR,"AA-IV, BWR-3000",01-01-1979,18-08-1985,12-10-2023,1050,2018-03-10T14:51:53+02:00,WNA/IAEA,532,38
237,Fuqing-1,25.443,119.453,China,CN,Operational,PWR,CNP-1000,21-11-2008,22-11-2014,12-10-2023,1000,2016-03-09T18:43:50+02:00,WNA/IAEA,914,8
